"ID"	"Cell State"
"TCGA.3A.A9IX.01"	"S01"
"TCGA.FB.A4P5.01"	"S01"
"TCGA.HZ.7923.01"	"S01"
"TCGA.IB.7888.01"	"S01"
"TCGA.IB.A5ST.01"	"S01"
"TCGA.IB.AAUP.01"	"S01"
"TCGA.IB.AAUR.01"	"S01"
"TCGA.Q3.A5QY.01"	"S01"
"TCGA.US.A77J.01"	"S01"
"TCGA.2J.AABE.01"	"S02"
"TCGA.2J.AABT.01"	"S02"
"TCGA.F2.A44H.01"	"S02"
"TCGA.HZ.A49G.01"	"S02"
"TCGA.IB.7649.01"	"S02"
"TCGA.IB.7885.01"	"S02"
"TCGA.IB.AAUT.01"	"S02"
"TCGA.HZ.7918.01"	"S03"
"TCGA.HZ.8637.01"	"S03"
"TCGA.IB.7651.01"	"S03"
"TCGA.IB.7891.01"	"S03"
"TCGA.F2.7273.01"	"S04"
"TCGA.HZ.8636.01"	"S04"
"TCGA.HZ.A77Q.01"	"S04"
"TCGA.IB.7645.01"	"S04"
"TCGA.IB.AAUS.01"	"S04"
"TCGA.F2.7276.01"	"S05"
"TCGA.HZ.7920.01"	"S05"
"TCGA.HZ.8001.01"	"S05"
"TCGA.HZ.8002.01"	"S05"
"TCGA.HZ.8519.01"	"S05"
"TCGA.HZ.A49H.01"	"S05"
"TCGA.HZ.A77P.01"	"S05"
"TCGA.IB.7897.01"	"S05"
"TCGA.XD.AAUH.01"	"S05"
"TCGA.XN.A8T5.01"	"S05"
"TCGA.FB.AAPS.01"	"S06"
"TCGA.HZ.7925.01"	"S06"
"TCGA.IB.7890.01"	"S06"
"TCGA.IB.7893.01"	"S06"
"TCGA.IB.A5SQ.01"	"S06"
"TCGA.IB.AAUV.01"	"S06"
"TCGA.XD.AAUG.01"	"S06"
"TCGA.YB.A89D.01"	"S06"
"TCGA.2J.AAB6.01"	"S07"
"TCGA.2J.AABP.01"	"S07"
"TCGA.US.A774.01"	"S07"
"TCGA.HZ.8315.01"	"S08"
"TCGA.IB.7646.01"	"S08"
"TCGA.IB.7647.01"	"S08"
"TCGA.IB.8127.01"	"S08"
"TCGA.3A.A9I7.01"	"S09"
"TCGA.H6.A45N.01"	"S09"
"TCGA.IB.A5SO.01"	"S09"
"TCGA.XN.A8T3.01"	"S09"
